Source,Target,Weight
4,1,1
11,1,0.14434
17,1,0.14434
21,1,0.288675
24,1,0.353555
39,1,0.353555
45,1,0.353555
48,1,0.204125
52,1,0.5
57,1,0.8614
58,1,0.14434
69,1,1
70,1,0.184635
72,1,0.288675
78,1,0.353555
95,1,0.204125
97,1,0.288675
98,1,0.204125
103,1,0.288675
104,1,0.288675
15,2,0.5
71,2,0.5
20,3,0.5
70,3,0.150755
57,4,0.353555
69,4,0.5
6,5,0.5
10,5,0.5
13,5,0.5
40,5,0.5
46,5,0.5
72,5,0.5
85,5,0.5
10,6,0.5
13,6,0.5
40,6,0.5
46,6,0.5
72,6,0.5
85,6,0.5
60,7,0.353555
64,7,0.31623
73,7,0.5
79,7,0.85355
70,8,0.150755
29,9,0.353555
32,9,0.5
70,9,0.150755
13,10,0.5
40,10,0.5
46,10,0.5
72,10,0.5
85,10,0.5
35,11,0.5
37,11,0.5
39,11,0.288675
48,11,0.353555
57,11,0.13363
60,11,0.25
70,11,0.1066
92,11,0.5
97,11,0.25
26,12,0.5
27,12,0.5
42,12,0.5
49,12,0.5
91,12,0.5
102,12,0.5
40,13,0.5
46,13,0.5
72,13,0.5
85,13,0.5
70,14,0.150755
106,14,0.353555
71,15,0.5
106,16,1
20,17,0.5
70,17,0.2132
88,17,0.353555
67,18,0.5
39,19,0.288675
70,20,0.150755
103,21,0.5
24,22,0.353555
39,22,0.288675
55,22,0.5
75,22,0.5
86,22,0.5
82,23,0.5
86,23,0.353555
39,24,0.204125
52,24,0.353555
57,25,0.288675
27,26,0.353555
28,26,0.353555
36,26,0.353555
41,26,0.353555
42,26,0.5
47,26,0.353555
49,26,0.5
50,26,0.353555
57,26,0.204125
63,26,0.353555
64,26,0.31623
91,26,0.5
94,26,0.353555
102,26,0.5
42,27,0.5
49,27,0.5
63,27,0.5
64,27,0.223605
91,27,0.5
102,27,0.5
36,28,0.5
64,28,0.223605
32,29,0.353555
57,29,0.13363
70,29,0.1066
89,29,0.353555
43,30,0.5
80,30,0.5
39,31,0.288675
70,32,0.150755
38,33,0.5
57,33,0.353555
76,33,0.5
81,33,0.5
99,33,0.353555
56,34,0.5
59,34,0.5
63,34,0.5
77,34,0.5
84,34,0.5
87,34,0.5
37,35,0.5
64,36,0.223605
57,38,0.353555
76,38,0.5
81,38,0.5
99,38,0.353555
44,39,0.288675
45,39,0.5
53,39,0.5
60,39,0.204125
92,39,0.288675
96,39,0.5
106,39,0.204125
46,40,0.5
72,40,0.5
85,40,0.5
47,41,0.5
50,41,0.5
57,41,0.288675
49,42,0.5
91,42,0.5
102,42,0.5
80,43,0.5
72,46,0.5
85,46,0.5
50,47,0.5
57,47,0.288675
57,48,0.18898
97,48,0.353555
91,49,0.5
102,49,0.5
57,50,0.288675
54,51,1.5
96,53,0.5
75,55,0.5
86,55,0.5
59,56,0.5
63,56,0.5
77,56,0.5
84,56,0.5
87,56,0.5
58,57,0.26726
66,57,0.18898
69,57,0.353555
74,57,0.26726
76,57,0.353555
81,57,0.353555
83,57,0.18898
89,57,0.18898
97,57,0.26726
99,57,0.25
100,57,0.18898
74,58,0.25
97,58,0.25
63,59,0.5
77,59,0.5
84,59,0.5
87,59,0.5
64,60,0.223605
70,60,0.1066
73,60,0.353555
79,60,0.353555
106,60,0.25
99,61,0.353555
63,62,0.5
93,62,0.5
64,63,0.223605
77,63,0.5
84,63,0.5
87,63,0.5
93,63,0.5
73,64,0.31623
79,64,0.53985
94,64,0.5
70,65,0.5
68,66,0.5
70,66,0.150755
100,66,0.5
90,67,0.5
70,68,0.150755
72,70,0.353555
75,70,0.150755
78,70,0.5
86,70,0.1066
88,70,0.150755
98,70,0.150755
104,70,0.353555
106,70,0.1066
85,72,0.5
104,72,0.5
79,73,0.85355
83,74,0.353555
86,75,0.353555
81,76,0.5
99,76,0.353555
84,77,0.5
87,77,0.5
99,81,0.353555
86,82,0.353555
87,84,0.5
102,91,0.5
105,101,0.5
